date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:11	132/132	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jul%202016%2013:30:11%20GMT	http://typhoonflux.tothong.com/robots.txt		(from )
09:30:12	30086/30086	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202016%2013:30:12%20GMT	http://typhoonflux.tothong.com/	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/index.html	(from )
09:30:13	56249/56249	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Dec%202015%2006:42:11%20GMT	http://typhoonflux.tothong.com/wp-content/themes/twentyeleven/style.css	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/wp-content/themes/twentyeleven/style.css	(from http://typhoonflux.tothong.com/)
09:30:14	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2009%20Jul%202016%2013:30:14%20GMT	http://typhoonflux.tothong.com/xmlrpc.php	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/xmlrpc.php	(from http://typhoonflux.tothong.com/)
09:30:14	57204/57204	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202016%2002:24:33%20GMT	http://typhoonflux.tothong.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.9.4	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/wp-content/plugins/jetpack/css/jetpackf3c8.css	(from http://typhoonflux.tothong.com/)
09:30:15	5011/5011	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202015%2006:39:33%20GMT	http://typhoonflux.tothong.com/wp-content/plugins/awesome-flickr-gallery-plugin/colorbox/colorbox.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/wp-content/plugins/awesome-flickr-gallery-plugin/colorbox/colorboxc1f9.css	(from http://typhoonflux.tothong.com/)
09:30:15	1678/1678	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202015%2006:39:33%20GMT	http://typhoonflux.tothong.com/wp-content/plugins/awesome-flickr-gallery-plugin/afg.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/wp-content/plugins/awesome-flickr-gallery-plugin/afgc1f9.css	(from http://typhoonflux.tothong.com/)
09:30:16	3291/3291	---M-Z	403	error ('Forbidden')	text/html	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://typhoonflux.tothong.com/comments/feed/	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/comments/feed/index.html	(from http://typhoonflux.tothong.com/)
09:30:17	386/386	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Sep%202014%2001:01:17%20GMT	http://typhoonflux.tothong.com/wp-content/plugins/dropdown-menu-widget/scripts/include.js?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/wp-content/plugins/dropdown-menu-widget/scripts/includec1f9.js	(from http://typhoonflux.tothong.com/)
09:30:17	7200/7200	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Feb%202014%2016:02:41%20GMT	http://typhoonflux.tothong.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	//Mac/Home/Downloads/My%20Web%20Sites/typhoonflux/typhoonflux.tothong.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://typhoonflux.tothong.com/)
